case_name,random_seed,Nc,Ns,Nt,slot_len,visit_prob,psi,phi,tau_b,running_time_sec,feasible,expected_feasible,graph_build_time_sec,max_flow_time_sec,coverage_ratio
Nc50_Ns100_Nt24_Slot600.0,0,50,100,24,600.0,0.3,1.0,1.0,50.0,5.527225277153775,False,,0.5015971041284502,5.022189212962985,0.0829497077953103
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.3,1.0,1.0,50.0,18.174802934052423,False,,0.8003132550511509,17.37042612885125,0.10212390056213227
Nc50_Ns100_Nt72_Slot600.0,0,50,100,72,600.0,0.3,1.0,1.0,50.0,46.41074907197617,False,,2.6322202919982374,43.771211365936324,0.08640802296263156
Nc50_Ns100_Nt96_Slot600.0,0,50,100,96,600.0,0.3,1.0,1.0,50.0,85.79728776495904,False,,4.720650169998407,81.06567613012157,0.07881594845817291
Nc50_Ns100_Nt120_Slot600.0,0,50,100,120,600.0,0.3,1.0,1.0,50.0,130.31080658407882,False,,6.958212977042422,123.33928594691679,0.07782717649275246
Nc50_Ns100_Nt144_Slot600.0,0,50,100,144,600.0,0.3,1.0,1.0,50.0,183.90783835598268,False,,6.479845616035163,177.4126415818464,0.09753314523951126
Nc50_Ns100_Nt24_Slot600.0,1,50,100,24,600.0,0.3,1.0,1.0,50.0,4.91430910397321,False,,0.28865606896579266,4.623579937033355,0.08492634172785461
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.3,1.0,1.0,50.0,22.153932866174728,False,,1.7471541450358927,20.401216925121844,0.0922208443289977
Nc50_Ns100_Nt72_Slot600.0,1,50,100,72,600.0,0.3,1.0,1.0,50.0,41.66971426503733,False,,2.0108970410656184,39.652143200160936,0.07832648417566154
Nc50_Ns100_Nt96_Slot600.0,1,50,100,96,600.0,0.3,1.0,1.0,50.0,78.08521478693001,False,,3.733419607859105,74.32010503904894,0.07885415023721326
Nc50_Ns100_Nt120_Slot600.0,1,50,100,120,600.0,0.3,1.0,1.0,50.0,133.36663593212143,False,,7.670183822978288,125.68237236700952,0.09079470819659814
Nc50_Ns100_Nt144_Slot600.0,1,50,100,144,600.0,0.3,1.0,1.0,50.0,183.8754911350552,False,,8.078617098042741,175.78162565105595,0.07374902835276159
Nc50_Ns100_Nt24_Slot600.0,2,50,100,24,600.0,0.3,1.0,1.0,50.0,5.299052331829444,False,,0.39938131300732493,4.8971051489934325,0.07500974545650348
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.3,1.0,1.0,50.0,20.188155281124637,False,,1.1965827820822597,18.986865237820894,0.0961654785911658
Nc50_Ns100_Nt72_Slot600.0,2,50,100,72,600.0,0.3,1.0,1.0,50.0,54.71150299394503,False,,5.743905265815556,48.955814235145226,0.0775256085536215
Nc50_Ns100_Nt96_Slot600.0,2,50,100,96,600.0,0.3,1.0,1.0,50.0,130.35229185502976,False,,16.3006934968289,114.03061299794354,0.0862046678966092
Nc50_Ns100_Nt120_Slot600.0,2,50,100,120,600.0,0.3,1.0,1.0,50.0,171.80857768910937,False,,13.428812077036127,158.3612492850516,0.08866283069881224
Nc50_Ns100_Nt144_Slot600.0,2,50,100,144,600.0,0.3,1.0,1.0,50.0,170.9020566311665,False,,5.155460818903521,165.732712184079,0.09519535683104216
