case_name,random_seed,Nc,Ns,Nt,slot_len,visit_prob,psi,phi,tau_b,running_time_sec,feasible,expected_feasible,graph_build_time_sec,max_flow_time_sec,coverage_ratio
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.1,1.0,1.0,50.0,24.05713393096812,False,,1.4877427951432765,22.563471366884187,0.07839523109830586
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.3,1.0,1.0,50.0,22.139947625808418,False,,1.742663562996313,20.39201437914744,0.08735014040000122
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.5,1.0,1.0,50.0,22.865704058902338,False,,2.759641786105931,20.09957118309103,0.0800881057207283
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.7,1.0,1.0,50.0,24.66679403092712,False,,1.6650549708865583,22.996898617129773,0.08055730348623405
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.9,1.0,1.0,50.0,27.892666422063485,False,,1.5273775889072567,26.360549218952656,0.07552630531952526
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.1,1.0,1.0,50.0,22.91445302707143,False,,0.8663755040615797,22.043765479931608,0.08277926013014424
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.3,1.0,1.0,50.0,17.45293183415197,False,,0.7642121708486229,16.684763483935967,0.09328589169958644
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.5,1.0,1.0,50.0,19.553134616930038,False,,1.0357169948983938,18.513148840051144,0.08950153521090226
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.7,1.0,1.0,50.0,24.28119305614382,False,,1.3505558068864048,22.9260671781376,0.08133655897610195
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.9,1.0,1.0,50.0,27.501904213102534,False,,1.708281721919775,25.788671570830047,0.08062772388082866
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.1,1.0,1.0,50.0,23.43391450215131,False,,1.1880393258761615,22.24094398296438,0.0725655713337461
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.3,1.0,1.0,50.0,19.23671925603412,False,,0.976107977097854,18.25616238405928,0.10883377478200694
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.5,1.0,1.0,50.0,20.90781884593889,False,,0.7677994798868895,20.136101948097348,0.1048376097976266
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.7,1.0,1.0,50.0,29.546324131079018,False,,5.7364446660503745,23.799863966181874,0.088399666178026
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.9,1.0,1.0,50.0,24.175548401894048,False,,3.71838891482912,20.45006314199418,0.06830722702599629
