Nc,Ns,Nt,algorithm,battery_capacity_seconds,completed_job_ratio,completed_jobs,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_label,horizon_sec,objective_mode,scenario,slot_len,slots,solver_status,wall_clock_sec
6,48,10,maxflow_preflow_push,2400,0.24175824175824176,44,0.27070383777698304,1e+18,1e-08,10min,600,,baseline,60,10,,0.07262099999999982
6,48,10,energy_first,2400,0.24175824175824176,44,0.2707038377769831,1e+18,1e-08,10min,600,,baseline,60,10,,0.003053292000000596
6,48,10,edf,2400,0.24175824175824176,44,0.2707038377769831,1e+18,1e-08,10min,600,,baseline,60,10,,0.002677541000000616
6,48,10,random,2400,0.2032967032967033,37,0.2707038377769831,1e+18,1e-08,10min,600,,baseline,60,10,,0.0048239170000003995
6,48,30,maxflow_preflow_push,2400,0.4148550724637681,229,0.42217695615938305,1e+18,1e-08,30min,1800,,baseline,60,30,,0.6223632090000004
6,48,30,energy_first,2400,0.3967391304347826,219,0.422176956159384,1e+18,1e-08,30min,1800,,baseline,60,30,,0.01620245799999953
6,48,30,edf,2400,0.39311594202898553,217,0.422176956159384,1e+18,1e-08,30min,1800,,baseline,60,30,,0.010642499999999444
6,48,30,random,2400,0.3713768115942029,205,0.42208523861342356,1e+18,1e-08,30min,1800,,baseline,60,30,,0.017025459000000076
6,48,60,maxflow_preflow_push,2400,0.5884476534296029,652,0.6041079882768013,1e+18,1e-08,1h,3600,,baseline,60,60,,2.905363833999999
6,48,60,energy_first,2400,0.5749097472924187,637,0.6001188047420551,1e+18,1e-08,1h,3600,,baseline,60,60,,0.04536312499999973
6,48,60,edf,2400,0.5749097472924187,637,0.6025948496946543,1e+18,1e-08,1h,3600,,baseline,60,60,,0.01877687500000036
6,48,60,random,2400,0.5361010830324909,594,0.5677687817835085,1e+18,1e-08,1h,3600,,baseline,60,60,,0.03257183300000044
6,48,360,maxflow_preflow_push,2400,0.7785446361590398,5189,0.7857749995563624,1e+18,1e-08,6h,21600,,baseline,60,360,,8.443962667
6,48,360,energy_first,2400,0.7749437359339835,5165,0.7856261544298325,1e+18,1e-08,6h,21600,,baseline,60,360,,0.061001042000000893
6,48,360,edf,2400,0.7743435858964741,5161,0.7855815582353124,1e+18,1e-08,6h,21600,,baseline,60,360,,0.07671016700000166
6,48,360,random,2400,0.7687921980495124,5124,0.781653216804794,1e+18,1e-08,6h,21600,,baseline,60,360,,0.0864552500000002
6,48,720,maxflow_preflow_push,2400,0.7949602519874006,10600,0.8025346816736059,1e+18,1e-08,12h,43200,,baseline,60,720,,18.885466290999997
6,48,720,energy_first,2400,0.7932353382330883,10577,0.8024602668951827,1e+18,1e-08,12h,43200,,baseline,60,720,,0.12949862499999654
6,48,720,edf,2400,0.7929353532323384,10573,0.8024379711304005,1e+18,1e-08,12h,43200,,baseline,60,720,,0.09617999999999682
6,48,720,random,2400,0.7897105144742763,10530,0.8002443940675333,1e+18,1e-08,12h,43200,,baseline,60,720,,0.17148716700000222
