algorithm,battery_capacity_seconds,completed_job_ratio,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_sec,parameter_key,parameter_label,parameter_value,satellite_solar_panel_power_watts,slot_len,slots,task_average_deadline,task_average_execution,task_average_period,time_slot_length,wall_clock_sec
maxflow_preflow_push,0,0.5089285714285714,0.5649970566044635,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),0,14,60,60,30,50,220,60,0.32399091699999993
energy_first,0,0.42757936507936506,0.5041344304944143,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),0,14,60,60,30,50,220,60,0.01001333399999993
edf,0,0.29464285714285715,0.4170662888373231,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),0,14,60,60,30,50,220,60,0.008158749999999992
random,0,0.32837301587301587,0.40622786227047286,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),0,14,60,60,30,50,220,60,0.012163459000000154
maxflow_preflow_push,1,0.5416666666666666,0.5746610136845207,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),1,14,60,60,30,50,220,60,0.619190417
energy_first,1,0.42757936507936506,0.5251636013594732,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),1,14,60,60,30,50,220,60,0.009864083000000079
edf,1,0.29464285714285715,0.42329092341338065,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),1,14,60,60,30,50,220,60,0.007510625000000104
random,1,0.32837301587301587,0.4233876656963611,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),1,14,60,60,30,50,220,60,0.008715958000000246
maxflow_preflow_push,2,0.5456349206349206,0.5813987621058397,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),2,14,60,60,30,50,220,60,0.5484459999999998
energy_first,2,0.42757936507936506,0.5461927722245323,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),2,14,60,60,30,50,220,60,0.00939612500000031
edf,2,0.29464285714285715,0.42951555798943813,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),2,14,60,60,30,50,220,60,0.007082875000000044
random,2,0.32837301587301587,0.44054746912224935,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),2,14,60,60,30,50,220,60,0.00857720800000017
maxflow_preflow_push,3,0.5565476190476191,0.5871891473658609,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),3,14,60,60,30,50,220,60,0.43637858399999985
energy_first,3,0.42757936507936506,0.5634051470204667,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),3,14,60,60,30,50,220,60,0.009283082999999692
edf,3,0.29464285714285715,0.4353585129585833,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),3,14,60,60,30,50,220,60,0.007123709000000034
