horizon,jobs,milp_status,ecoflow_coverage,milp_coverage,coverage_gap_abs,ecoflow_objective,milp_objective,objective_gap_abs,objective_gap_rel_pct,total_demand
10min,166,Optimal,0.5541106943367523,0.5541106941965881,1.40164213568994e-10,545.8812712880831,545.8812711500004,1.3808266885462217e-07,2.5295366621339715e-08,985.148413245264
1h,1008,Optimal,0.5703626490835483,0.5703626487604364,3.2311187059264057e-10,3390.306331758604,3390.3063298380075,1.9205963326385245e-06,5.664964005569056e-08,5944.124036183168
2h,2018,Optimal,0.5572492327062845,0.5572492325393947,1.668897242623757e-10,6633.125114770465,6633.125112783955,1.986510142160114e-06,2.99483291568183e-08,11903.336470391687
3h,3029,Optimal,0.5700748495508224,0.5700748493705455,1.802769045156083e-10,10181.837704241965,10181.837701021883,3.2200823625316843e-06,3.1625748289117856e-08,17860.527810101205
4h,4038,Optimal,0.5769543254068004,0.5769543252644086,1.4239176504560191e-10,13739.350288777088,13739.350285385834,3.39125472237356e-06,2.468278813722905e-08,23813.583994000423
5h,5049,Optimal,0.5662995046512991,0.5662995045081539,1.4314516239011255e-10,16859.17532456571,16859.175320303682,4.262026777723804e-06,2.5280161673097978e-08,29770.775333710244
6h,6059,Optimal,0.5342898925666737,0.5342898924268641,1.3980960833492873e-10,19090.171325930063,19090.17132093523,4.994832124793902e-06,2.616441749433815e-08,35729.98776792016
7h,7070,Optimal,0.5038447750104169,0.5038447748619208,1.484961043018984e-10,21003.867378302333,21003.867372112807,6.189526175148785e-06,2.946850723008623e-08,41687.1791076308
8h,8080,Optimal,0.4675729802777586,0.46757298016338283,1.1437578661954717e-10,22275.426691350538,22275.426685902537,5.448000592878088e-06,2.4457446628063775e-08,47640.53448537358
9h,9091,Optimal,0.42555836144793324,0.42555836133471203,1.1322121018508824e-10,22811.763024806616,22811.763018738413,6.068203219911084e-06,2.6601202260984565e-08,53604.31163235071
10h,10102,Optimal,0.38366099773000645,0.38366099763512157,9.488487773268162e-11,22850.063024806623,22850.063019156405,5.650217644870281e-06,2.4727361321206894e-08,59557.9513164062
11h,11113,Optimal,0.3490760021324767,0.3490760020416499,9.082679053307174e-11,22872.063024806623,22872.06301885642,5.950201739324257e-06,2.6015151035648732e-08,65521.728463383304
12h,12122,Optimal,0.32031817502569637,0.3203181749499461,7.57502949255695e-11,22892.56302480663,22892.563019392408,5.414221959654242e-06,2.3650571388917117e-08,71468.19884001173
