algorithm,horizon_label,horizon_sec,slots,Nc,Ns,Nt,num_jobs,num_nodes,num_edges,num_candidate_assignments,coverage_ratio,completed_job_ratio,max_flow_value,total_demand,wall_clock_sec,graph_build_time_sec,max_flow_time_sec,solve_time_sec,solver_status
ecoflow,10min,600,10,6,136,10,166,2983,4497,,0.5541106943367523,0.5301204819277109,545.8812712880831,985.1484132452641,0.03721695800000002,0.008501750000000086,0.028136583999999965,,Optimal
lp_optimal,10min,600,10,6,136,10,166,,,702,0.5541106942676433,0.060240963855421686,545.8812712200004,985.148413245264,0.139116417,,,0.12917899999999993,Optimal
ecoflow,1h,3600,60,6,136,60,1008,17920,27828,,0.5703626490835486,0.5307539682539683,3390.306331758605,5944.124036183131,0.471025209,0.03329062499999991,0.434367167,,Optimal
lp_optimal,1h,3600,60,6,136,60,1008,,,4265,0.5703626487604364,0.041666666666666664,3390.3063298380075,5944.124036183168,0.2875405419999999,,,0.2702669580000001,Optimal
ecoflow,6h,21600,360,6,136,360,6059,107527,165840,,0.5342898925666733,0.48819937283380094,19090.17132593005,35729.987767919105,4.268185709,0.5458077079999999,3.699221292,,Optimal
lp_optimal,6h,21600,360,6,136,360,6059,,,23644,0.5342898923729019,0.040600759201188316,19090.171319007164,35729.98776792016,2.5426266250000005,,,2.2654880419999994,Optimal
ecoflow,12h,43200,720,6,136,720,12122,215059,334149,,0.32031817502569676,0.2851014684045537,22892.56302480666,71468.19884001324,9.773862083000001,1.5062779590000002,8.220641458,,Optimal
lp_optimal,12h,43200,720,6,136,720,12122,,,49591,0.32031817490609293,0.020871143375680582,22892.563016258304,71468.19884001173,5.0491091669999975,,,4.080198291999999,Optimal
ecoflow,24h,86400,1440,6,136,1440,24248,430122,687585,,0.36036279696385326,0.3250989772352359,51516.150124238215,142956.34998472282,20.523168000000002,4.655704374999999,15.755008292000003,,Optimal
lp_optimal,24h,86400,1440,6,136,1440,24248,,,118276,0.3603627967473167,0.019135598812273176,51516.15009328589,142956.349984731,13.392559708,,,9.743039042,Optimal
