algorithm,horizon_label,horizon_sec,slots,Nc,Ns,Nt,num_jobs,num_nodes,num_edges,num_candidate_assignments,coverage_ratio,completed_job_ratio,max_flow_value,total_demand,wall_clock_sec,graph_build_time_sec,max_flow_time_sec,solve_time_sec,solver_status
ecoflow,10min,600,10,6,136,10,166,2983,4497,,0.5541106943367523,0.5301204819277109,545.8812712880831,985.1484132452641,0.03666220900000006,0.0084887079999999,0.027599250000000075,0.027599250000000075,Optimal
milp,10min,600,10,6,136,10,166,,,702,0.5541106941965881,0.05421686746987952,545.8812711500004,985.148413245264,0.4077105,,,0.3631459160000001,Optimal
ecoflow,1h,3600,60,6,136,60,1008,17920,27828,,0.5703626490835483,0.5297619047619048,3390.306331758604,5944.124036183131,0.47171370899999987,0.03386191699999985,0.43442854200000003,0.43442854200000003,Optimal
milp,1h,3600,60,6,136,60,1008,,,4265,0.5703626487604364,0.041666666666666664,3390.3063298380075,5944.124036183168,1.6679098749999999,,,0.5342860410000001,Optimal
ecoflow,2h,7200,120,6,136,120,2018,35840,55425,,0.5572492327062845,0.5118929633300298,6633.125114770465,11903.336470391625,1.1882502920000002,0.09007804200000002,1.0910446249999994,1.0910446249999994,Optimal
milp,2h,7200,120,6,136,120,2018,,,8140,0.5572492325393947,0.04311199207135778,6633.125112783955,11903.336470391687,5.701172834,,,1.213594916,Optimal
ecoflow,3h,10800,180,6,136,180,3029,53761,83460,,0.5700748495508224,0.527236711786068,10181.837704241965,17860.527810101627,1.8221200839999998,0.16399433299999977,1.6473780839999996,1.6473780839999996,Optimal
milp,3h,10800,180,6,136,180,3029,,,12446,0.5700748493705455,0.04919115219544404,10181.837701021883,17860.527810101205,12.033131749999999,,,1.9958744589999995,Optimal
ecoflow,4h,14400,240,6,136,240,4038,71684,111463,,0.5769543254068004,0.5346706290242694,13739.350288777088,23813.58399400111,2.4042925000000004,0.2475181250000027,2.1420027909999995,2.1420027909999995,Optimal
milp,4h,14400,240,6,136,240,4038,,,16713,0.5769543252644086,0.05695889053987122,13739.350285385834,23813.583994000423,21.750790458000004,,,3.1304932910000005,Optimal
ecoflow,5h,18000,300,6,136,300,5049,89606,138912,,0.5662995046512991,0.5185185185185185,16859.17532456571,29770.7753337111,3.471762291999994,0.37010479200000646,3.082475875,3.082475875,Optimal
milp,5h,18000,300,6,136,300,5049,,,20433,0.5662995045081539,0.05189146365616954,16859.175320303682,29770.775333710244,33.740224999999995,,,4.167054582999995,Optimal
ecoflow,6h,21600,360,6,136,360,6059,107527,165840,,0.5342898925666737,0.48737415415084995,19090.171325930063,35729.987767919105,4.356011916999989,0.4935748329999967,3.8323742079999903,3.8323742079999903,Optimal
milp,6h,21600,360,6,136,360,6059,,,23644,0.5342898924268641,0.04390163393299224,19090.17132093523,35729.98776792016,46.354018917000005,,,5.310735332999997,Optimal
ecoflow,7h,25200,420,6,136,420,7070,125450,193287,,0.5038447750104169,0.4558698727015559,21003.867378302333,41687.17910762909,5.208985665999999,0.6388631250000001,4.539563792,4.539563792,Optimal
milp,7h,25200,420,6,136,420,7070,,,27364,0.5038447748619208,0.03691654879773692,21003.867372112807,41687.1791076308,63.646881834,,,6.365184042000003,Optimal
ecoflow,8h,28800,480,6,136,480,8080,143371,220709,,0.4675729802777586,0.4194306930693069,22275.426691350538,47640.53448537161,6.064598290999996,0.7338346250000001,5.2991322499999995,5.2991322499999995,Optimal
milp,8h,28800,480,6,136,480,8080,,,31057,0.46757298016338283,0.03378712871287129,22275.426685902537,47640.53448537358,81.755409291,,,7.768167250000005,Optimal
ecoflow,9h,32400,540,6,136,540,9091,161293,247763,,0.42555836144793324,0.37795622043779564,22811.763024806616,53604.3116323485,7.075347999999991,0.7690312499999834,6.271697749999987,6.271697749999987,Optimal
milp,9h,32400,540,6,136,540,9091,,,34378,0.42555836133471203,0.02903970960290397,22811.763018738413,53604.31163235071,106.02402275,,,9.611338332999992,Optimal
ecoflow,10h,36000,600,6,136,600,10102,179216,275668,,0.38366099773000645,0.33765590972084736,22850.063024806623,59557.95131640377,8.090026833000024,0.9305053329999851,7.119517583999993,7.119517583999993,Optimal
milp,10h,36000,600,6,136,600,10102,,,38553,0.38366099763512157,0.026727380716689765,22850.063019156405,59557.9513164062,127.63029825000001,,,11.289971624999964,Optimal
ecoflow,11h,39600,660,6,136,660,11113,197137,304788,,0.3490760021324767,0.3052281112210924,22872.063024806623,65521.72846338065,8.834862708999992,1.2210010410000223,7.5691110419999745,7.5691110419999745,Optimal
milp,11h,39600,660,6,136,660,11113,,,43954,0.3490760020416499,0.02402591559434896,22872.06301885642,65521.728463383304,154.00554479200002,,,13.201216291000037,Optimal
ecoflow,12h,43200,720,6,136,720,12122,215059,334149,,0.32031817502569637,0.2820491668041577,22892.56302480663,71468.19884001324,9.850142957999992,1.2331270000000814,8.570355583000037,8.570355583000037,Optimal
milp,12h,43200,720,6,136,720,12122,,,49591,0.3203181749499461,0.02202606830556014,22892.563019392408,71468.19884001173,184.0389540829999,,,15.43016112500004,Optimal
