algorithm,satellite_count,horizon_sec,slots,Nc,Ns,Nt,num_jobs,num_nodes,num_edges,coverage_ratio,completed_job_ratio,max_flow_value,total_demand,wall_clock_sec,graph_build_time_sec,max_flow_time_sec
maxflow_preflow_push,24,86400,1440,6,24,1440,24248,107562,153031,0.07322469140499495,0.05241669416034312,10467.934612015782,142956.34998472282,10.044668875000001,3.6066948329999997,6.400012417000001
energy_first,24,86400,1440,6,24,1440,24248,,,0.07322469140498684,0.050932035631804685,10467.934612016174,142956.34998474398,0.05835120899999957,,
edf,24,86400,1440,6,24,1440,24248,,,0.07333521465212967,0.05101451666116793,10483.734612016173,142956.34998474398,0.05800412500000007,,
random,24,86400,1440,6,24,1440,24248,,,0.0728342750943419,0.050932035631804685,10412.122121271863,142956.34998474398,0.08633408299999878,,
maxflow_preflow_push,48,86400,1440,6,48,1440,24248,176682,267800,0.14965932778864743,0.12141207522269878,21394.751241832237,142956.34998472282,14.201696459,4.307629624999999,9.842447084
energy_first,48,86400,1440,6,48,1440,24248,,,0.14898839594650623,0.10409105905641702,21298.837274594356,142956.34998474398,0.09705062500000139,,
edf,48,86400,1440,6,48,1440,24248,,,0.14888750137409107,0.10392609699769054,21284.413754788613,142956.34998474398,0.09593724999999864,,
random,48,86400,1440,6,48,1440,24248,,,0.13827135775803795,0.09918343780930386,19766.768612523818,142956.34998474398,0.8058077919999995,,
maxflow_preflow_push,72,86400,1440,6,72,1440,24248,245802,382311,0.2197472256433795,0.1878505443747938,31414.26129724682,142956.34998472282,16.898822792000004,4.375064042000002,12.458213207999997
energy_first,72,86400,1440,6,72,1440,24248,,,0.21230685177639785,0.15370339821840975,30350.612606705898,142956.34998474398,0.13080016699999675,,
edf,72,86400,1440,6,72,1440,24248,,,0.20807622533515227,0.14854833388320687,29745.81769251648,142956.34998474398,0.1274515829999956,,
random,72,86400,1440,6,72,1440,24248,,,0.18173886313211768,0.13485648300890796,25980.7245237445,142956.34998474398,0.14036920899999927,,
maxflow_preflow_push,96,86400,1440,6,96,1440,24248,314922,496712,0.28662465180098273,0.2517733421313098,40974.814037110606,142956.34998472282,19.521230624999994,4.080354582999995,15.364282625000001
energy_first,96,86400,1440,6,96,1440,24248,,,0.2712311608261884,0.20554272517321015,38774.216753836976,142956.34998474398,0.16377795800000428,,
edf,96,86400,1440,6,96,1440,24248,,,0.25852593319743455,0.1885516331243814,36957.92378630499,142956.34998474398,0.15453175000000385,,
random,96,86400,1440,6,96,1440,24248,,,0.22041501374251274,0.16768393269548004,31509.725846466805,142956.34998474398,0.16608529199999822,,
maxflow_preflow_push,120,86400,1440,6,120,1440,24248,384042,611665,0.3356793846084896,0.3007670735730782,47987.49958874762,142956.34998472282,21.807814208999993,4.259116541999994,17.448601374999996
energy_first,120,86400,1440,6,120,1440,24248,,,0.31475587676918226,0.25358792477730124,44996.351279170165,142956.34998474398,0.19804775000000063,,
edf,120,86400,1440,6,120,1440,24248,,,0.2897337490414051,0.21779115803365226,41419.27923035509,142956.34998474398,0.18330304199999148,,
random,120,86400,1440,6,120,1440,24248,,,0.24459060726185383,0.19040745628505443,34965.78045470664,142956.34998474398,0.19367983300000446,,
maxflow_preflow_push,136,86400,1440,6,136,1440,24248,430122,687585,0.3603627969638536,0.32538766083800724,51516.150124238266,142956.34998472282,20.563966249999993,4.154372500000008,16.301578792
energy_first,136,86400,1440,6,136,1440,24248,,,0.3372477491546884,0.2799818541735401,48211.70725972478,142956.34998474398,0.21853470799999286,,
edf,136,86400,1440,6,136,1440,24248,,,0.305085022394273,0.232266578686902,43613.841236499145,142956.34998474398,0.20168070800001203,,
random,136,86400,1440,6,136,1440,24248,,,0.25848616104466027,0.20451171230616957,36952.23810451335,142956.34998474398,0.2059057090000067,,
maxflow_preflow_push,192,86400,1440,6,192,1440,24248,591402,953957,0.49521106997984454,0.44502639392939625,70793.56703634773,142956.34998472282,28.708904625000002,6.728872291000002,21.835429457999993
energy_first,192,86400,1440,6,192,1440,24248,,,0.46145201139226405,0.3840729132299571,65967.49524175657,142956.34998474398,0.3026410829999975,,
edf,192,86400,1440,6,192,1440,24248,,,0.4111843654123346,0.3153662157703728,58781.416050140564,142956.34998474398,0.27262937500000817,,
random,192,86400,1440,6,192,1440,24248,,,0.2792209603644377,0.22991586935004948,39916.40933293488,142956.34998474398,0.26397070800001643,,
maxflow_preflow_push,272,86400,1440,6,272,1440,24248,821802,1336704,0.6021376271137215,0.5663559881227318,86079.3973606397,142956.34998472282,28.409512583999998,7.250385209000001,20.957568915999985
energy_first,272,86400,1440,6,272,1440,24248,,,0.5668943363012583,0.510062685582316,81041.14514465183,142956.34998474398,0.42168737500000475,,
edf,272,86400,1440,6,272,1440,24248,,,0.47046424897959155,0.37772187396898715,67255.85183243622,142956.34998474398,0.39479966599998306,,
random,272,86400,1440,6,272,1440,24248,,,0.30749919255784464,0.26183602771362585,43958.96219132542,142956.34998474398,0.385845125000003,,
