label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,flow_algorithm,graph_build_sec,maxflow_sec,total_runtime_sec
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880837,0.5541106943367529,edmonds_karp,0.008425499999999975,0.06570341700000004,0.07432525000000001
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880837,0.5541106943367529,ford_fulkerson,0.004641790999999951,0.012374708000000068,0.017167457999999858
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880832,0.5541106943367524,preflow_push,0.004651916000000034,0.03440774999999996,0.039167541999999944
1h,3600,60,1008,17920,27828,5944.124036183131,3390.306331758569,0.5703626490835424,edmonds_karp,0.043995333000000025,2.2207740419999995,2.265290875
1h,3600,60,1008,17920,27828,5944.124036183131,3390.3063317586452,0.5703626490835553,ford_fulkerson,0.04496070800000007,0.43808495800000014,0.483597166
1h,3600,60,1008,17920,27828,5944.124036183131,3390.3063317586025,0.5703626490835481,preflow_push,0.04659566599999998,0.4104727920000002,0.45766216700000006
6h,21600,360,6059,107527,165840,35729.987767919105,19090.17132592954,0.534289892566659,edmonds_karp,0.5102444589999999,93.10116391700001,93.614413834
6h,21600,360,6059,107527,165840,35729.987767919105,19090.171325927055,0.5342898925665894,ford_fulkerson,0.5400316659999902,17.52837591699999,18.071602208
6h,21600,360,6059,107527,165840,35729.987767919105,19090.17132593005,0.5342898925666733,preflow_push,0.5510617500000023,3.6773514579999897,4.231509041999999
12h,43200,720,12122,215059,334149,71468.19884001324,22892.563024805208,0.32031817502567644,edmonds_karp,1.2182105410000048,262.14414075,263.36853329200005
12h,43200,720,12122,215059,334149,71468.19884001324,22892.56302480196,0.320318175025631,ford_fulkerson,1.6479210840000178,25.976495124999985,27.63086637500004
12h,43200,720,12122,215059,334149,71468.19884001324,22892.56302480664,0.3203181750256965,preflow_push,1.6606310000000235,8.168232417000013,9.834999208
24h,86400,1440,24248,430122,687585,142956.34998472282,51516.15012423249,0.3603627969638132,edmonds_karp,4.990530249999949,1479.217590916,1484.2202802909999
24h,86400,1440,24248,430122,687585,142956.34998472282,51516.15012423941,0.3603627969638616,ford_fulkerson,5.268054915999983,360.7772535830002,366.06022629100016
24h,86400,1440,24248,430122,687585,142956.34998472282,51516.15012423828,0.3603627969638537,preflow_push,4.9530473750000965,17.124187832999723,22.521573582999736
