label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,flow_algorithm,graph_build_sec,maxflow_sec,total_runtime_sec
10min,600,10,50,1180,1886,2316.77366846832,201.7085187920281,0.08706440406212959,edmonds_karp,0.0019101249999999848,0.006180749999999957,0.008131
10min,600,10,50,1180,1886,2316.77366846832,201.7085187920281,0.08706440406212959,preflow_push,0.005665167000000082,0.008728415999999961,0.01442329099999995
10min,600,10,50,1180,1886,2316.77366846832,201.7085187920281,0.08706440406212959,ford_fulkerson,0.002085916999999937,0.006550207999999946,0.008672000000000013
1h,3600,60,312,8094,14707,14778.382904434613,8086.770009585908,0.5472026311592777,edmonds_karp,0.021027083999999974,0.671244833,0.692407
1h,3600,60,312,8094,14707,14778.382904434613,8086.7700095859,0.5472026311592771,preflow_push,0.026909209000000045,0.22336533400000014,0.250425417
1h,3600,60,312,8094,14707,14778.382904434613,8086.770009585908,0.5472026311592777,ford_fulkerson,0.021922667000000118,0.20385183300000032,0.22594975000000006
6h,21600,360,1887,49589,90568,89783.7152880073,57504.08372368896,0.6404734259350701,edmonds_karp,0.23968266699999985,32.125370833,32.365870083000004
6h,21600,360,1887,49589,90568,89783.7152880073,57504.08372368886,0.640473425935069,preflow_push,0.24047312500000118,2.4139208340000025,2.6553316250000023
6h,21600,360,1887,49589,90568,89783.7152880073,57504.083723688964,0.6404734259350701,ford_fulkerson,0.1856949169999993,1.6916965420000025,1.878179750000001
12h,43200,720,3775,99384,178708,179575.91039060973,112317.1063071482,0.6254575352720663,edmonds_karp,0.7473189999999974,122.267941959,123.016936792
12h,43200,720,3775,99384,178708,179575.91039060973,112317.10630714953,0.6254575352720737,preflow_push,0.6886950420000062,5.537410875000006,6.227844457999993
12h,43200,720,3775,99384,178708,179575.91039060973,112317.10630714806,0.6254575352720655,ford_fulkerson,0.512091708999975,3.6148850830000185,4.128595625000003
24h,86400,1440,7555,198988,356777,359448.5460952605,226922.12453801895,0.6313062801424725,edmonds_karp,1.980303666999987,528.86079225,530.8444175420001
24h,86400,1440,7555,198988,356777,359448.5460952605,226922.12453801275,0.6313062801424553,preflow_push,2.0024233339999,13.419218167000054,15.42508250000003
24h,86400,1440,7555,198988,356777,359448.5460952605,226922.12453802105,0.6313062801424784,ford_fulkerson,1.6851467909999656,8.27778854199994,9.96629633300006
