label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,flow_algorithm,graph_build_sec,maxflow_sec,total_runtime_sec
10min,600,10,50,1180,1886,2316.77366846832,201.7085187920281,0.08706440406212959,edmonds_karp,0.0023692499999999894,0.005891957999999975,0.008325583000000025
10min,600,10,50,1180,1886,2316.77366846832,201.7085187920281,0.08706440406212959,preflow_push,0.006066583000000014,0.007861875000000018,0.01398012500000001
10min,600,10,50,1180,1886,2316.77366846832,201.7085187920281,0.08706440406212959,ford_fulkerson,0.0020123329999999773,0.001161750000000017,0.0032173750000000223
1h,3600,60,312,8094,14707,14778.382904434613,8086.770009585908,0.5472026311592777,edmonds_karp,0.019176791999999998,0.659625334,0.6789692089999999
1h,3600,60,312,8094,14707,14778.382904434613,8086.770009585898,0.547202631159277,preflow_push,0.029467249999999945,0.24588937499999997,0.27553691699999994
1h,3600,60,312,8094,14707,14778.382904434613,8086.770009585893,0.5472026311592766,ford_fulkerson,0.07742245899999989,0.135416875,0.2135691660000001
6h,21600,360,1887,49589,90568,89783.7152880073,57504.08372368896,0.6404734259350701,edmonds_karp,0.226782292,31.772886040999996,32.000570458
6h,21600,360,1887,49589,90568,89783.7152880073,57504.08372368885,0.6404734259350688,preflow_push,0.24790575000000104,2.6569245829999986,2.905939124999996
6h,21600,360,1887,49589,90568,89783.7152880073,57504.083723689866,0.6404734259350802,ford_fulkerson,0.18355612499999552,4.190802708,4.375218124999996
12h,43200,720,3775,99384,178708,179575.91039060973,112317.1063071482,0.6254575352720663,edmonds_karp,0.7467256669999998,120.26068033300001,121.00908691699999
12h,43200,720,3775,99384,178708,179575.91039060973,112317.10630714954,0.6254575352720738,preflow_push,0.7212842080000144,5.306689542000015,6.029941791999988
12h,43200,720,3775,99384,178708,179575.91039060973,112317.10630714835,0.6254575352720672,ford_fulkerson,0.4973545419999823,15.316684624999994,15.815889666999993
24h,86400,1440,7555,198988,356777,359448.5460952605,226922.12453801895,0.6313062801424725,edmonds_karp,1.948268875,490.675818917,492.627554542
24h,86400,1440,7555,198988,356777,359448.5460952605,226922.12453801258,0.6313062801424547,preflow_push,1.906336500000009,11.827665083999989,13.737381666000033
24h,86400,1440,7555,198988,356777,359448.5460952605,226922.1245380185,0.6313062801424713,ford_fulkerson,1.8724484170000002,68.197988916,70.073956958
