Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,baseline,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,baseline,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,baseline,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,baseline,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828961,10000000000.0,1e-09,,False,86400,303554.8140583088,2150486,7555,145803,10,P_solar=10,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8039406759580959,10000000000.0,1e-09,,False,86400,288975.30711995607,,7555,,10,P_solar=10,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,10,P_solar=10,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,10,P_solar=10,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1.2e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,psi=1.2e-09,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8070565600315368,10000000000.0,1.2e-09,,False,86400,290095.30711995566,,7555,,40.0,psi=1.2e-09,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1.2e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=1.2e-09,300,50,300,60,359448.54609524313
