Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,maxflow,7200,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,baseline,300,50,300,60,359448.5460952605
6,48,1440,maxflow,0,0.4502890403922349,10000000000.0,1e-09,,False,86400,161855.74089161886,234520,7555,145803,40.0,tau_b=0,300,50,300,60,359448.5460952605
6,48,1440,maxflow,250,0.5506781439878097,10000000000.0,1e-09,,False,86400,197940.45822285468,303592,7555,145803,40.0,tau_b=250,300,50,300,60,359448.5460952605
6,48,1440,maxflow,500,0.5971705628535108,10000000000.0,1e-09,,False,86400,214652.0905885828,303592,7555,145803,40.0,tau_b=500,300,50,300,60,359448.5460952605
6,48,1440,maxflow,750,0.6273001434766227,10000000000.0,1e-09,,False,86400,225482.12453802032,303592,7555,145803,40.0,tau_b=750,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1000,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=1000,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1250,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=1250,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1500,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=1500,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1750,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=1750,300,50,300,60,359448.5460952605
6,48,1440,maxflow,2000,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=2000,300,50,300,60,359448.5460952605
6,48,1440,maxflow,2250,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=2250,300,50,300,60,359448.5460952605
6,48,1440,maxflow,2500,0.6313062801424777,10000000000.0,1e-09,,False,86400,226922.1245380208,303592,7555,145803,40.0,tau_b=2500,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.0,10000000000.0,1e-09,,False,86400,0,303592,7555,145803,0,P_solar=0,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6067253383663944,10000000000.0,1e-09,,False,86400,218086.54075495544,303592,7555,145803,1.5,P_solar=1.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6247629235882135,10000000000.0,1e-09,,False,86400,224570.12453800766,303592,7555,145803,3,P_solar=3,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6276006037265277,10000000000.0,1e-09,,False,86400,225590.1245380081,303592,7555,145803,4.5,P_solar=4.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6289693670873622,10000000000.0,1e-09,,False,86400,226082.1245380085,303592,7555,145803,6,P_solar=6,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6296370565316682,10000000000.0,1e-09,,False,86400,226322.12453800748,303592,7555,145803,7.5,P_solar=7.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6301378236149193,10000000000.0,1e-09,,False,86400,226502.12453801444,303592,7555,145803,9,P_solar=9,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6306385906981624,10000000000.0,1e-09,,False,86400,226682.12453801854,303592,7555,145803,10.5,P_solar=10.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.630905666475888,10000000000.0,1e-09,,False,86400,226778.12453801924,303592,7555,145803,12,P_solar=12,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6311059733091823,10000000000.0,1e-09,,False,86400,226850.12453801985,303592,7555,145803,13.5,P_solar=13.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.6313062801424755,10000000000.0,1e-09,,False,86400,226922.12453802003,303592,7555,145803,15,P_solar=15,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,1.0,10000000000.0,1e-09,,True,86400,0,296031,7555,145803,40.0,exec=0,300,0,300,60,0.0
6,48,1440,maxflow,7200,0.8071861980355269,10000000000.0,1e-09,,False,86400,87042.57159360666,303592,7555,145803,40.0,exec=15,300,15,300,60,107834.56382857481
6,48,1440,maxflow,7200,0.7801866368728735,10000000000.0,1e-09,,False,86400,168262.171384138,303592,7555,145803,40.0,exec=30,300,30,300,60,215669.12765714963
6,48,1440,maxflow,7200,0.6756867738866393,10000000000.0,1e-09,,False,86400,218587.1656404069,303592,7555,145803,40.0,exec=45,300,45,300,60,323503.6914857231
6,48,1440,maxflow,7200,0.5647320784661469,10000000000.0,1e-09,,False,86400,243590.54944560575,303592,7555,145803,40.0,exec=60,300,60,300,60,431338.25531429925
6,48,1440,maxflow,7200,0.49815787678985207,10000000000.0,1e-09,,False,86400,268593.18680701376,303592,7555,145803,40.0,exec=75,300,75,300,60,539172.8191428755
6,48,1440,maxflow,7200,0.45362461515293756,10000000000.0,1e-09,,False,86400,293498.47510153154,303592,7555,145803,40.0,exec=90,300,90,300,60,647007.3829714461
6,48,1440,maxflow,7200,0.4203036653381416,10000000000.0,1e-09,,False,86400,317262.8369910256,303592,7555,145803,40.0,exec=105,300,105,300,60,754841.9468000169
6,48,1440,maxflow,7200,0.39081029655109034,10000000000.0,1e-09,,False,86400,337142.8629464224,303592,7555,145803,40.0,exec=120,300,120,300,60,862676.5106285985
6,48,1440,maxflow,7200,0.3676256096673959,10000000000.0,1e-09,,False,86400,356784.7254362756,303592,7555,145803,40.0,exec=135,300,135,300,60,970511.0744571674
6,48,1440,maxflow,7200,0.3487083939466165,10000000000.0,1e-09,,False,86400,376028.1756459633,303592,7555,145803,40.0,exec=150,300,150,300,60,1078345.638285751
