Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,baseline,300,50,300,60,359448.5460952605
6,48,1440,maxflow,0,0.8436137388752089,10000000000.0,1e-09,,False,86400,303235.73190468055,2081414,7555,145803,40.0,tau_b=0,300,50,300,60,359448.5460952605
6,48,1440,maxflow,250,0.8443092487130308,10000000000.0,1e-09,,False,86400,303485.7319046806,2150486,7555,145803,40.0,tau_b=250,300,50,300,60,359448.5460952605
6,48,1440,maxflow,500,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=500,300,50,300,60,359448.5460952605
6,48,1440,maxflow,750,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=750,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1000,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=1000,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1250,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=1250,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1500,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=1500,300,50,300,60,359448.5460952605
6,48,1440,maxflow,1750,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=1750,300,50,300,60,359448.5460952605
6,48,1440,maxflow,2000,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=2000,300,50,300,60,359448.5460952605
6,48,1440,maxflow,2250,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=2250,300,50,300,60,359448.5460952605
6,48,1440,maxflow,2500,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=2500,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.0,10000000000.0,1e-09,,False,86400,0,2150486,7555,145803,0,P_solar=0,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8116858703030493,10000000000.0,1e-09,,False,86400,291759.3059664972,2150486,7555,145803,1.5,P_solar=1.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8397252674952213,10000000000.0,1e-09,,False,86400,301838.02652061096,2150486,7555,145803,3,P_solar=3,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8416842803077874,10000000000.0,1e-09,,False,86400,302542.19082786987,2150486,7555,145803,4.5,P_solar=4.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8426357377658987,10000000000.0,1e-09,,False,86400,302884.19082785945,2150486,7555,145803,6,P_solar=6,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8435871952240668,10000000000.0,1e-09,,False,86400,303226.19082786946,2150486,7555,145803,7.5,P_solar=7.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8443679000940311,10000000000.0,1e-09,,False,86400,303506.8140583076,2150486,7555,145803,9,P_solar=9,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8445014379828949,10000000000.0,1e-09,,False,86400,303554.8140583084,2150486,7555,145803,10.5,P_solar=10.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8445014379828945,10000000000.0,1e-09,,False,86400,303554.8140583082,2150486,7555,145803,12,P_solar=12,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.844501437982894,10000000000.0,1e-09,,False,86400,303554.814058308,2150486,7555,145803,13.5,P_solar=13.5,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,0.8445014379828943,10000000000.0,1e-09,,False,86400,303554.81405830814,2150486,7555,145803,15,P_solar=15,300,50,300,60,359448.5460952605
6,48,1440,maxflow,7200,1.0,10000000000.0,1e-09,,True,86400,0,2142925,7555,145803,40.0,exec=0,300,0,300,60,0.0
6,48,1440,maxflow,7200,0.8457335992733173,10000000000.0,1e-09,,False,86400,91199.31379280884,2150486,7555,145803,40.0,exec=15,300,15,300,60,107834.56382857481
6,48,1440,maxflow,7200,0.8450565691109,10000000000.0,1e-09,,False,86400,182252.61308109158,2150486,7555,145803,40.0,exec=30,300,30,300,60,215669.12765714963
6,48,1440,maxflow,7200,0.8446604308754877,10000000000.0,1e-09,,False,86400,273250.7674401417,2150486,7555,145803,40.0,exec=45,300,45,300,60,323503.6914857231
