Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,heuristic,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,baseline,300,50,300,60,359448.54609523254
6,48,1440,heuristic,0,0.5794063481619658,10000000000.0,1e-09,,False,86400,208266.76944516672,,7555,,40.0,tau_b=0,300,50,300,60,359448.54609523254
6,48,1440,heuristic,250,0.6649794689127416,10000000000.0,1e-09,,False,86400,239025.90328386487,,7555,,40.0,tau_b=250,300,50,300,60,359448.54609523254
6,48,1440,heuristic,500,0.7159044420204014,10000000000.0,1e-09,,False,86400,257330.81082735196,,7555,,40.0,tau_b=500,300,50,300,60,359448.54609523254
6,48,1440,heuristic,750,0.7653391336669069,10000000000.0,1e-09,,False,86400,275100.0388663545,,7555,,40.0,tau_b=750,300,50,300,60,359448.54609523254
6,48,1440,heuristic,1000,0.8000115206499615,10000000000.0,1e-09,,False,86400,287562.97795706475,,7555,,40.0,tau_b=1000,300,50,300,60,359448.54609523254
6,48,1440,heuristic,1250,0.8060549314164035,10000000000.0,1e-09,,False,86400,289735.27317051863,,7555,,40.0,tau_b=1250,300,50,300,60,359448.54609523254
6,48,1440,heuristic,1500,0.8067504412542242,10000000000.0,1e-09,,False,86400,289985.2731705182,,7555,,40.0,tau_b=1500,300,50,300,60,359448.54609523254
6,48,1440,heuristic,1750,0.8074459510920474,10000000000.0,1e-09,,False,86400,290235.2731705187,,7555,,40.0,tau_b=1750,300,50,300,60,359448.54609523254
6,48,1440,heuristic,2000,0.807691227664207,10000000000.0,1e-09,,False,86400,290323.43747777265,,7555,,40.0,tau_b=2000,300,50,300,60,359448.54609523254
6,48,1440,heuristic,2250,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,tau_b=2250,300,50,300,60,359448.54609523254
6,48,1440,heuristic,2500,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,tau_b=2500,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.0,10000000000.0,1e-09,,False,86400,0.0,,7555,,0,P_solar=0,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.7480128427320711,10000000000.0,1e-09,,False,86400,268872.1287806048,,7555,,1.5,P_solar=1.5,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.783545396122476,10000000000.0,1e-09,,False,86400,281644.25343583705,,7555,,3,P_solar=3,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.7990656550983004,10000000000.0,1e-09,,False,86400,287222.9879597186,,7555,,4.5,P_solar=4.5,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.801474925068707,10000000000.0,1e-09,,False,86400,288088.99654773215,,7555,,6,P_solar=6,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.8024991224648819,10000000000.0,1e-09,,False,86400,288457.14281270176,,7555,,7.5,P_solar=7.5,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.8035006566313451,10000000000.0,1e-09,,False,86400,288817.14281270164,,7555,,9,P_solar=9,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.8040074449025271,10000000000.0,1e-09,,False,86400,288999.3071199561,,7555,,10.5,P_solar=10.5,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.8042077517358194,10000000000.0,1e-09,,False,86400,289071.307119956,,7555,,12,P_solar=12,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.8044080585691121,10000000000.0,1e-09,,False,86400,289143.307119956,,7555,,13.5,P_solar=13.5,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,0.8046083654024047,10000000000.0,1e-09,,False,86400,289215.30711995595,,7555,,15,P_solar=15,300,50,300,60,359448.54609523254
6,48,1440,heuristic,7200,1.0,10000000000.0,1e-09,,True,86400,0.0,,7555,,40.0,exec=0,300,0,300,60,0.0
6,48,1440,heuristic,7200,0.8077353820619909,10000000000.0,1e-09,,False,86400,87101.79261356371,,7555,,40.0,exec=15,300,15,300,60,107834.56382857691
6,48,1440,heuristic,7200,0.8077353820619909,10000000000.0,1e-09,,False,86400,174203.58522712742,,7555,,40.0,exec=30,300,30,300,60,215669.12765715382
6,48,1440,heuristic,7200,0.8077353820619873,10000000000.0,1e-09,,False,86400,261305.3778406891,,7555,,40.0,exec=45,300,45,300,60,323503.69148572965
